,Año,Trimestre,Provincia,Mbps (Media de bajada)
0,2022,4,Buenos Aires,111.0
4,2022,4,Chubut,1592.0
9,2022,4,Jujuy,3932.0
10,2022,4,La Pampa,191.0
11,2022,4,La Rioja,61.0
12,2022,4,Mendoza,3876.0
17,2022,4,San Juan,1639.0
18,2022,4,San Luis,3067.0
19,2022,4,Santa Cruz,1433.0
20,2022,4,Santa Fe,903.0
21,2022,4,Santiago Del Estero,344.0
22,2022,4,Tierra Del Fuego,1348.0
28,2022,3,Chubut,1557.0
32,2022,3,Formosa,3035.0
33,2022,3,Jujuy,3243.0
34,2022,3,La Pampa,1810.0
36,2022,3,Mendoza,3416.0
39,2022,3,Río Negro,3413.0
40,2022,3,Salta,4133.0
41,2022,3,San Juan,1584.0
42,2022,3,San Luis,1933.0
43,2022,3,Santa Cruz,1260.0
45,2022,3,Santiago Del Estero,1769.0
46,2022,3,Tierra Del Fuego,1101.0
48,2022,2,Buenos Aires,655.0
52,2022,2,Chubut,1491.0
55,2022,2,Entre Ríos,4003.0
56,2022,2,Formosa,2847.0
57,2022,2,Jujuy,2939.0
58,2022,2,La Pampa,1607.0
60,2022,2,Mendoza,2972.0
63,2022,2,Río Negro,3326.0
64,2022,2,Salta,3877.0
65,2022,2,San Juan,1444.0
66,2022,2,San Luis,1932.0
67,2022,2,Santa Cruz,1181.0
69,2022,2,Santiago Del Estero,1634.0
70,2022,2,Tierra Del Fuego,1097.0
76,2022,1,Chubut,1340.0
78,2022,1,Corrientes,3811.0
79,2022,1,Entre Ríos,3559.0
80,2022,1,Formosa,3028.0
81,2022,1,Jujuy,2769.0
82,2022,1,La Pampa,1484.0
83,2022,1,La Rioja,4137.0
84,2022,1,Mendoza,2620.0
87,2022,1,Río Negro,3109.0
88,2022,1,Salta,3671.0
89,2022,1,San Juan,1199.0
90,2022,1,San Luis,2095.0
91,2022,1,Santa Cruz,1089.0
92,2022,1,Santa Fe,3889.0
93,2022,1,Santiago Del Estero,1450.0
94,2022,1,Tierra Del Fuego,1073.0
100,2021,4,Chubut,908.0
102,2021,4,Corrientes,3577.0
103,2021,4,Entre Ríos,3332.0
104,2021,4,Formosa,2876.0
105,2021,4,Jujuy,2714.0
106,2021,4,La Pampa,1385.0
107,2021,4,La Rioja,3970.0
108,2021,4,Mendoza,2223.0
109,2021,4,Misiones,3890.0
110,2021,4,Neuquén,4009.0
111,2021,4,Río Negro,2720.0
112,2021,4,Salta,3394.0
113,2021,4,San Juan,1105.0
114,2021,4,San Luis,2091.0
115,2021,4,Santa Cruz,899.0
116,2021,4,Santa Fe,3602.0
117,2021,4,Santiago Del Estero,1384.0
118,2021,4,Tierra Del Fuego,1070.0
123,2021,3,Chaco,3911.0
124,2021,3,Chubut,818.0
126,2021,3,Corrientes,3217.0
127,2021,3,Entre Ríos,2960.0
128,2021,3,Formosa,2669.0
129,2021,3,Jujuy,2598.0
130,2021,3,La Pampa,1299.0
131,2021,3,La Rioja,3887.0
132,2021,3,Mendoza,1337.0
133,2021,3,Misiones,3088.0
134,2021,3,Neuquén,3834.0
135,2021,3,Río Negro,2540.0
136,2021,3,Salta,3121.0
137,2021,3,San Juan,704.0
138,2021,3,San Luis,2170.0
139,2021,3,Santa Cruz,769.0
140,2021,3,Santa Fe,3313.0
141,2021,3,Santiago Del Estero,1335.0
142,2021,3,Tierra Del Fuego,952.0
147,2021,2,Chaco,3740.0
148,2021,2,Chubut,768.0
149,2021,2,Córdoba,3959.0
150,2021,2,Corrientes,3037.0
151,2021,2,Entre Ríos,2762.0
152,2021,2,Formosa,2397.0
153,2021,2,Jujuy,2581.0
154,2021,2,La Pampa,1228.0
155,2021,2,La Rioja,3853.0
156,2021,2,Mendoza,1347.0
157,2021,2,Misiones,2868.0
158,2021,2,Neuquén,3611.0
159,2021,2,Río Negro,2375.0
160,2021,2,Salta,2924.0
161,2021,2,San Juan,699.0
162,2021,2,San Luis,2166.0
163,2021,2,Santa Cruz,763.0
164,2021,2,Santa Fe,3070.0
165,2021,2,Santiago Del Estero,1272.0
166,2021,2,Tierra Del Fuego,859.0
167,2021,2,Tucumán,4031.0
170,2021,1,Catamarca,3997.0
171,2021,1,Chaco,3363.0
172,2021,1,Chubut,753.0
173,2021,1,Córdoba,3617.0
174,2021,1,Corrientes,2599.0
175,2021,1,Entre Ríos,2387.0
176,2021,1,Formosa,2098.0
177,2021,1,Jujuy,2678.0
178,2021,1,La Pampa,1073.0
179,2021,1,La Rioja,1270.0
180,2021,1,Mendoza,1260.0
181,2021,1,Misiones,2508.0
182,2021,1,Neuquén,3424.0
183,2021,1,Río Negro,2192.0
184,2021,1,Salta,2732.0
185,2021,1,San Juan,691.0
186,2021,1,San Luis,2159.0
187,2021,1,Santa Cruz,750.0
188,2021,1,Santa Fe,2813.0
189,2021,1,Santiago Del Estero,1158.0
190,2021,1,Tierra Del Fuego,873.0
191,2021,1,Tucumán,3798.0
194,2020,4,Catamarca,3765.0
195,2020,4,Chaco,3245.0
196,2020,4,Chubut,738.0
197,2020,4,Córdoba,3512.0
198,2020,4,Corrientes,2545.0
199,2020,4,Entre Ríos,2405.0
200,2020,4,Formosa,1970.0
201,2020,4,Jujuy,2521.0
202,2020,4,La Pampa,988.0
203,2020,4,La Rioja,1253.0
204,2020,4,Mendoza,1109.0
205,2020,4,Misiones,2496.0
206,2020,4,Neuquén,3391.0
207,2020,4,Río Negro,2164.0
208,2020,4,Salta,2532.0
209,2020,4,San Juan,641.0
210,2020,4,San Luis,2125.0
211,2020,4,Santa Cruz,749.0
212,2020,4,Santa Fe,2729.0
213,2020,4,Santiago Del Estero,1128.0
214,2020,4,Tierra Del Fuego,849.0
215,2020,4,Tucumán,3644.0
218,2020,3,Catamarca,3654.0
219,2020,3,Chaco,3080.0
220,2020,3,Chubut,740.0
221,2020,3,Córdoba,3351.0
222,2020,3,Corrientes,2385.0
223,2020,3,Entre Ríos,2243.0
224,2020,3,Formosa,1828.0
225,2020,3,Jujuy,2191.0
226,2020,3,La Pampa,1070.0
227,2020,3,La Rioja,1219.0
228,2020,3,Mendoza,1019.0
229,2020,3,Misiones,2414.0
230,2020,3,Neuquén,3146.0
231,2020,3,Río Negro,2108.0
232,2020,3,Salta,2526.0
233,2020,3,San Juan,603.0
234,2020,3,San Luis,2085.0
235,2020,3,Santa Cruz,665.0
236,2020,3,Santa Fe,2569.0
237,2020,3,Santiago Del Estero,1088.0
238,2020,3,Tierra Del Fuego,851.0
239,2020,3,Tucumán,3484.0
242,2020,2,Catamarca,3493.0
243,2020,2,Chaco,2795.0
244,2020,2,Chubut,761.0
245,2020,2,Córdoba,3099.0
246,2020,2,Corrientes,2215.0
247,2020,2,Entre Ríos,2045.0
248,2020,2,Formosa,1687.0
249,2020,2,Jujuy,1586.0
250,2020,2,La Pampa,803.0
251,2020,2,La Rioja,1167.0
252,2020,2,Mendoza,927.0
253,2020,2,Misiones,2256.0
