,Provincia,Partido,Localidad,ADSL,Cablemódem,Dial Up,Fibra óptica,4G,3G,Telefonía Fija,Wireless,Satelital
0,Buenos aires,9 de Julio,Alfredo demarchi (est. facundo quiroga),1,0,0,0,1,1,1,0,0
1,Buenos aires,9 de Julio,Carlos maría naón,0,0,0,0,1,1,1,0,0
2,Buenos aires,9 de Julio,Dudignac,0,0,1,0,1,1,1,1,0
3,Buenos aires,9 de Julio,La aurora (est. la niña),0,0,0,0,1,0,0,0,0
4,Buenos aires,9 de Julio,Manuel b. gonnet (est. french),1,0,0,1,1,1,1,0,0
5,Buenos aires,9 de Julio,Marcelino ugarte (est. dennehy),0,0,0,0,1,0,1,0,0
6,Buenos aires,9 de Julio,Morea,0,0,0,0,0,0,1,1,0
7,Buenos aires,9 de Julio,Norumbega,0,0,0,0,0,0,1,0,0
8,Buenos aires,9 de Julio,Patricios,1,0,0,0,0,1,1,1,0
9,Buenos aires,9 de Julio,Villa general fournier (est. 9 de julio sud),0,0,0,1,1,1,1,1,0
10,Buenos aires,Adolfo Alsina,Carhué,1,0,1,1,1,1,1,1,0
11,Buenos aires,Adolfo Alsina,Colonia san miguel arcángel,0,0,0,1,1,0,1,0,0
12,Buenos aires,Adolfo Alsina,Delfín huergo,0,0,0,0,0,0,0,0,0
13,Buenos aires,Adolfo Alsina,Espartillar,0,0,0,0,1,0,0,0,0
14,Buenos aires,Azul,Ariel,0,0,0,0,1,0,0,0,0
15,Buenos aires,Azul,Azul,1,1,1,1,1,1,1,1,1
16,Buenos aires,Azul,Cacharí,0,0,1,0,1,1,1,1,0
17,Buenos aires,Azul,Chillar,0,0,0,0,1,1,1,1,1
18,Buenos aires,Bahía Blanca,Bahía blanca,1,1,1,1,1,1,1,1,1
19,Buenos aires,Bahía Blanca,Cabildo,0,1,1,1,1,1,1,1,0
20,Buenos aires,Bahía Blanca,General daniel cerri (est. general cerri),1,1,1,1,1,1,1,1,0
21,Buenos aires,Bahía Blanca,Grunbein,0,0,0,0,1,1,0,0,0
22,Buenos aires,Bahía Blanca,Ingeniero white,0,0,0,1,1,1,0,0,1
23,Buenos aires,General Pueyrredón,Chapadmalal,1,0,0,1,1,1,1,1,1
24,Buenos aires,General Pueyrredón,El marquesado,0,0,0,0,0,0,1,1,0
25,Buenos aires,General Pueyrredón,Estacion camet,0,0,0,0,1,1,0,0,0
26,Buenos aires,General Pueyrredón,Estación chapadmalal,1,0,0,1,1,1,0,1,0
27,Buenos aires,General Pueyrredón,Mar del plata,1,1,1,1,1,1,1,1,1
28,Buenos aires,General Pueyrredón,Punta mogotes,0,0,0,0,1,1,0,0,0
29,Buenos aires,General Pueyrredón,Sierra de los padres,1,0,0,1,1,1,1,1,0
30,Buenos aires,General Rodríguez,Barrio ruta 24 kilómetro 10,0,0,0,1,1,1,0,0,0
31,Buenos aires,General Rodríguez,Country club bosque real - barrio morabo,0,0,0,0,1,1,0,0,0
32,Buenos aires,Pellegrini,Pellegrini,1,1,1,0,1,1,1,1,1
33,Buenos aires,Pergamino,Acevedo,1,1,0,0,1,1,1,1,0
34,Buenos aires,Pergamino,Fontezuela,1,0,0,1,0,0,1,1,0
35,Buenos aires,Pergamino,Guerrico,0,1,0,0,1,1,0,1,1
36,Buenos aires,Pergamino,Juan a. de la peña,0,0,0,0,0,0,0,1,0
37,Buenos aires,Pergamino,Juan anchorena (est. urquiza),1,0,0,1,1,1,1,1,0
38,Buenos aires,Pergamino,La violeta,1,0,0,0,1,1,1,0,0
39,Buenos aires,Pergamino,Manuel ocampo,0,0,0,1,1,1,1,1,0
40,Buenos aires,Pergamino,Mariano benítez,0,0,0,0,0,0,1,0,0
41,Buenos aires,Pergamino,Mariano h. alfonzo (est. san patricio),0,0,0,0,1,1,0,0,1
42,Buenos aires,Pergamino,Pergamino,1,1,1,1,1,1,1,1,1
43,Buenos aires,Pergamino,Pinzón,0,0,0,0,0,0,0,1,0
44,Mendoza,Lavalle,El paramillo,0,0,0,0,0,0,0,0,0
45,Caba,COMUNA 12,Villa pueyrredon,1,1,1,1,1,1,1,1,1
46,Catamarca,Ambato,Los varela,0,0,0,0,1,0,0,0,1
47,Catamarca,Ambato,Singuil,0,0,0,0,1,0,0,0,0
48,Catamarca,Ancasti,Ancasti,0,0,0,0,1,0,1,0,1
49,Catamarca,Ancasti,Anquincila,0,0,0,0,0,0,0,0,0
50,Catamarca,Ancasti,La candelaria,0,0,0,0,0,0,0,0,0
51,Catamarca,Ancasti,La majada,0,0,0,0,0,0,0,0,0
52,Catamarca,Andalgalá,Aconquija,0,0,0,0,1,1,0,0,1
53,Catamarca,Andalgalá,Alto de las juntas,0,0,0,0,0,0,0,0,0
54,Catamarca,Andalgalá,Amanao,0,0,0,0,0,1,1,0,0
55,Catamarca,Andalgalá,Andalgalá,1,0,0,1,1,1,1,1,1
56,Catamarca,Andalgalá,Buena vista,0,0,0,0,0,0,0,0,0
57,Catamarca,Andalgalá,Chaquiago,0,0,0,1,0,0,0,1,1
58,Catamarca,Andalgalá,Choya,0,0,0,0,0,0,0,0,0
59,Catamarca,Andalgalá,El alamito,0,0,0,0,0,0,0,1,0
60,Catamarca,Andalgalá,El lindero,0,0,0,0,0,0,1,0,0
61,Catamarca,Andalgalá,El potrero,0,0,0,1,0,0,1,0,0
62,Catamarca,Andalgalá,La aguada,0,0,0,1,0,0,0,1,0
63,Catamarca,Andalgalá,La mesada,0,0,0,1,0,0,0,0,0
64,Catamarca,Antofagasta de la Sierra,Antofagasta de la sierra,0,0,0,0,1,0,1,0,1
65,Catamarca,Antofagasta de la Sierra,Antofalla,0,0,0,0,0,0,0,0,0
66,Catamarca,Antofagasta de la Sierra,El peñón,0,0,0,0,0,0,1,0,0
67,Catamarca,Antofagasta de la Sierra,Los nacimientos,0,0,0,0,0,0,0,0,0
68,Catamarca,Belén,Barranca larga,0,0,0,0,0,0,1,0,0
69,Catamarca,Belén,Belén,0,0,0,0,1,1,1,1,1
70,Catamarca,Belén,Cóndor huasi,0,0,0,0,0,0,0,0,0
71,Catamarca,Belén,Corral quemado,0,0,0,0,0,0,1,0,0
72,Catamarca,Belén,El durazno,0,0,0,0,0,0,0,0,1
73,Catamarca,Belén,Farallón negro,0,0,0,0,1,0,1,0,0
74,Catamarca,Belén,Hualfín,0,0,0,0,1,0,1,0,1
75,Catamarca,Belén,Jacipunco,0,0,0,0,0,0,1,0,0
76,Cordoba,San Javier,Villa de las rosas,0,0,0,0,1,1,0,1,0
77,Cordoba,San Javier,Villa dolores,1,1,0,1,1,1,1,1,0
78,Cordoba,San Javier,Villa la viña,0,0,0,0,0,0,0,1,0
79,Cordoba,San Justo,Alicia,0,1,0,1,1,1,1,0,1
80,Cordoba,San Justo,Altos de chipión,0,0,0,1,1,1,1,0,1
81,Cordoba,San Justo,Arroyito,1,1,0,1,1,1,1,1,1
82,Cordoba,San Justo,Balnearia,0,0,0,0,1,1,1,0,0
83,Cordoba,San Justo,Brinkmann,1,0,0,1,1,1,1,0,0
84,Cordoba,San Justo,Colonia 10 de julio,0,0,0,0,0,0,0,0,0
85,Cordoba,San Justo,Colonia anita,0,0,0,0,0,0,0,1,0
86,Cordoba,San Justo,Colonia iturraspe,0,0,0,0,0,0,0,0,0
87,Cordoba,San Justo,Colonia las pichanas,0,0,0,0,0,0,0,1,0
88,Entre rios,Uruguay,Caseros,1,0,0,1,1,1,1,1,0
89,Entre rios,Uruguay,Colonia elía,0,0,0,1,1,0,1,1,0
90,Entre rios,Uruguay,Concepción del uruguay,1,1,1,1,1,1,1,1,0
91,Entre rios,Uruguay,Estancia san pedro,0,0,0,0,0,0,0,1,0
92,Entre rios,Uruguay,Herrera,1,0,0,0,1,0,1,1,0
93,Entre rios,Uruguay,Las moscas,0,0,0,1,1,0,1,1,0
94,Entre rios,Uruguay,Líbaros,0,0,0,0,0,0,1,1,0
95,Entre rios,Uruguay,Pronunciamiento,0,0,0,0,1,1,1,1,0
96,Entre rios,Uruguay,Rocamora,0,0,0,0,0,0,1,1,0
97,Entre rios,Uruguay,Santa anita,0,0,0,1,1,0,1,1,0
98,Entre rios,Uruguay,Villa mantero,1,0,0,1,1,1,1,1,1
99,Entre rios,Uruguay,Villa san justo,0,0,0,1,1,1,1,1,0
100,Entre rios,Uruguay,Villa san marcial (est. gobernador urquiza),0,0,0,0,1,1,1,1,0
101,Entre rios,Victoria,Antelo,0,0,0,0,0,0,0,0,0
102,Mendoza,Lavalle,El vergel,0,0,0,0,0,0,0,1,0
103,Mendoza,Lavalle,Ingeniero gustavo andré,0,0,0,0,0,0,0,1,0
